Показник,region,Категорія розрізу,activity,sex,Періодичність,year,enterprises_count
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,1960
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,227
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,715
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,602
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,185
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,124
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,12
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,861
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,445
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,364
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,1053
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,578
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,315
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,118
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,49
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,415
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Освіта,Жінки,Річна,2025,1208
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,4260
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,142
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,105
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,22
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,65
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,251
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,58
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,304
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,21
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,1415
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,772
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,145
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,865
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,649
Кількість активних підприємств,Вінницька,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,2373
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,1045
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,221
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,604
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,118
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,48
Кількість активних підприємств,Вінницька,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,13
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,9
Кількість активних підприємств,Волинська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,294
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,51
Кількість активних підприємств,Волинська,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,317
Кількість активних підприємств,Волинська,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,88
Кількість активних підприємств,Волинська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,1190
Кількість активних підприємств,Волинська,Вид економічної діяльності,Освіта,Жінки,Річна,2025,998
Кількість активних підприємств,Волинська,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,6
Кількість активних підприємств,Волинська,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,576
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,38
Кількість активних підприємств,Волинська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,1192
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,507
Кількість активних підприємств,Волинська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,631
Кількість активних підприємств,Волинська,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,370
Кількість активних підприємств,Волинська,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,20
Кількість активних підприємств,Волинська,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,295
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,12
Кількість активних підприємств,Волинська,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,3474
Кількість активних підприємств,Волинська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,390
Кількість активних підприємств,Волинська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,86
Кількість активних підприємств,Волинська,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,1183
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,192
Кількість активних підприємств,Волинська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,1062
Кількість активних підприємств,Волинська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,6
Кількість активних підприємств,Волинська,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,368
Кількість активних підприємств,Волинська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,49
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,55
Кількість активних підприємств,Волинська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,24
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,829
Кількість активних підприємств,Волинська,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,45
Кількість активних підприємств,Волинська,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,103
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,183
Кількість активних підприємств,Волинська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,483
Кількість активних підприємств,Волинська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,605
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,95
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,212
Кількість активних підприємств,Волинська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,144
Кількість активних підприємств,Волинська,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,201
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,78
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,3016
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,2917
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,217
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,86
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,1781
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,229
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,19
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,991
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,960
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,88
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,552
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,1508
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,404
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,3397
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,295
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,2623
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,1152
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,1662
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,4018
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,657
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,1099
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,129
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,591
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,215
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Діяльність домашніх господарств,Чоловіки,Річна,2025,1
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,6591
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,228
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,215
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,1508
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,952
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,5803
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,392
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,875
Кількість активних підприємств,Дніпропетровська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,3954
