activity,Жінки,Чоловіки,total,women_share,gap_from_overall
Освіта,29333,8502,37835,0.775287432271706,0.40813292396342427
"Мистецтво, спорт, розваги та відпочинок",5161,3672,8833,0.5842861994792257,0.21713169117094389
Державне управління й оборона; обов'язкове соціальне страхування,18347,13229,31576,0.5810425639726374,0.21388805566435565
Тимчасове розміщування й організація харчування,3367,3517,6884,0.4891051714119698,0.12195066310368802
Діяльність домашніх господарств,17,21,38,0.4473684210526316,0.0802139127443498
Діяльність у сфері адміністративного та допоміжного обслуговування,34560,44285,78845,0.4383283657809626,0.07117385747268085
Охорона здоров'я та надання соціальної допомоги,17068,23934,41002,0.4162723769572216,0.0491178686489398
Операції з нерухомим майном,14586,21598,36184,0.4031063453460093,0.03595183703772753
"Професійна, наукова та технічна діяльність",11048,16876,27924,0.3956453230196247,0.028490814711342904
Фінансова та страхова діяльність,1203,2135,3338,0.36039544637507487,-0.006759061933206911
Інформація та телекомунікації,5163,10572,15735,0.3281220209723546,-0.03903248733592718
Надання інших видів послуг,52216,115650,167866,0.3110576292995604,-0.0560968790087214
Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,25204,56868,82072,0.3070962082074276,-0.06005830010085417
"Транспорт, складське господарство, поштова та кур'єрська діяльність",4841,13222,18063,0.268006421967558,-0.0991480863407238
Переробна промисловість,9056,28746,37802,0.23956404423046398,-0.1275904640778178
"Постачання електроенергії, газу, пари та кондиційованого повітря",900,3159,4059,0.22172949002217296,-0.14542501828610882
"Водопостачання; каналізація, поводження з відходами",705,2592,3297,0.21383075523202913,-0.15332375307625265
"Сільське господарство, лісове господарство та рибне господарство",8365,32828,41193,0.20306848250916418,-0.1640860257991176
Будівництво,5433,22676,28109,0.19328329004945036,-0.17387121825883142
Добувна промисловість і розроблення кар'єрів,258,1360,1618,0.15945611866501855,-0.20769838964326323
Діяльність екстериторіальних організацій і органів,0,8,8,0.0,-0.3671545083082818
