activity,enterprises_count
Надання інших видів послуг,167866
Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,82072
Діяльність у сфері адміністративного та допоміжного обслуговування,78845
"Сільське господарство, лісове господарство та рибне господарство",41193
Охорона здоров'я та надання соціальної допомоги,41002
Освіта,37835
Переробна промисловість,37802
Операції з нерухомим майном,36184
Державне управління й оборона; обов'язкове соціальне страхування,31576
Будівництво,28109
"Професійна, наукова та технічна діяльність",27924
"Транспорт, складське господарство, поштова та кур'єрська діяльність",18063
Інформація та телекомунікації,15735
"Мистецтво, спорт, розваги та відпочинок",8833
Тимчасове розміщування й організація харчування,6884
"Постачання електроенергії, газу, пари та кондиційованого повітря",4059
Фінансова та страхова діяльність,3338
"Водопостачання; каналізація, поводження з відходами",3297
Добувна промисловість і розроблення кар'єрів,1618
Діяльність домашніх господарств,38
Діяльність екстериторіальних організацій і органів,8
