activity,Жінки,Чоловіки,total,women_share
Освіта,29333,8502,37835,0.775287432271706
"Мистецтво, спорт, розваги та відпочинок",5161,3672,8833,0.5842861994792257
Державне управління й оборона; обов'язкове соціальне страхування,18347,13229,31576,0.5810425639726374
Тимчасове розміщування й організація харчування,3367,3517,6884,0.4891051714119698
Діяльність домашніх господарств,17,21,38,0.4473684210526316
Діяльність у сфері адміністративного та допоміжного обслуговування,34560,44285,78845,0.4383283657809626
Охорона здоров'я та надання соціальної допомоги,17068,23934,41002,0.4162723769572216
Операції з нерухомим майном,14586,21598,36184,0.4031063453460093
"Професійна, наукова та технічна діяльність",11048,16876,27924,0.3956453230196247
Фінансова та страхова діяльність,1203,2135,3338,0.36039544637507487
Інформація та телекомунікації,5163,10572,15735,0.3281220209723546
Надання інших видів послуг,52216,115650,167866,0.3110576292995604
Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,25204,56868,82072,0.3070962082074276
"Транспорт, складське господарство, поштова та кур'єрська діяльність",4841,13222,18063,0.268006421967558
Переробна промисловість,9056,28746,37802,0.23956404423046398
"Постачання електроенергії, газу, пари та кондиційованого повітря",900,3159,4059,0.22172949002217296
"Водопостачання; каналізація, поводження з відходами",705,2592,3297,0.21383075523202913
"Сільське господарство, лісове господарство та рибне господарство",8365,32828,41193,0.20306848250916418
Будівництво,5433,22676,28109,0.19328329004945036
Добувна промисловість і розроблення кар'єрів,258,1360,1618,0.15945611866501855
Діяльність екстериторіальних організацій і органів,0,8,8,0.0
