region,Жінки,Чоловіки,total,women_share
Донецька,12085,12107,24192,0.49954530423280424
Луганська,5178,5319,10497,0.49328379537010575
Херсонська,4907,5402,10309,0.4759918517799981
Миколаївська,7463,11337,18800,0.396968085106383
Житомирська,6845,10485,17330,0.3949798038084247
Дніпропетровська,20468,32079,52547,0.38951795535425426
Чернігівська,4791,7700,12491,0.38355616043551355
Запорізька,8491,13758,22249,0.3816351296687492
Одеська,15285,24992,40277,0.3794969833900241
Кіровоградська,5710,9548,15258,0.3742299121772185
Вінницька,8409,14318,22727,0.37000044000528004
Сумська,4716,8115,12831,0.36754734627075053
Волинська,6013,10370,16383,0.367026796069096
Харківська,13473,23426,36899,0.36513184639150115
Черкаська,6950,12311,19261,0.3608327708841701
Полтавська,7890,14024,21914,0.3600438076115725
Рівненська,5620,10100,15720,0.3575063613231552
Закарпатська,6042,10896,16938,0.3567127169677648
Хмельницька,6783,12399,19182,0.35361276196434155
Івано-Франківська,7008,12877,19885,0.3524264520995725
Чернівецька,3870,7374,11244,0.3441835645677695
Львівська,16105,31664,47769,0.33714333563608195
Київ,44700,88650,133350,0.33520809898762655
Тернопільська,5068,10149,15217,0.33304856410593414
Київська,12961,26050,39011,0.3322396247212325
